Hindi,English,Mundari,Mundari_English_Pronounciation
कृपया कुर्सी की सावधानीपूर्वक जांच करें।,Please examine the chair carefully.,ओड़ो: कृपया कुर्सी रा: सावधानीपूर्वक जांच रिकाएआ।,oda़o: kripayaa kursii raa: saawadhaaniipuurwaka jaancha rikaaeaa.
कृपया वर्कशीट को ध्यान से जांचें।,Please check the worksheet carefully.,ओड़ो: कृपया वर्कशीट के ध्यान ते जांच केदा।,oda़o: kripayaa warkashiita ke dhyaana te jaancha kedaa.
कृपया पाठ को ध्यानपूर्वक जांचें।,Please check the text carefully.,ओड़ोः कृपया पाठ के ध्यानपूर्वक जांच केदा।,oda़oh kripayaa paatha ke dhyaanapuurwaka jaancha kedaa.
कृपया प्रश्न को ध्यानपूर्वक जांचें।,Please check the question carefully.,ओड़ो: कृपया प्रश्न के ध्यानपूर्वक जांच केदा।,oda़o: kripayaa prashna ke dhyaanapuurwaka jaancha kedaa.
कृपया उत्तर को ध्यानपूर्वक जांचें।,Please check the answer carefully.,ओड़ोः कृपया उत्तर के ध्यानपूर्वक जांच केदा।,oda़oh kripayaa uttara ke dhyaanapuurwaka jaancha kedaa.
कृपया मानचित्र को ध्यानपूर्वक जांचें।,Please check the map carefully.,ओड़ो: कृपया मानचित्र के ध्यानपूर्वक जांच केदा।,oda़o: kripayaa maanachitrara ke dhyaanapuurwaka jaancha kedaa.
कृपया चित्र को ध्यानपूर्वक जांचें।,Please check the picture carefully.,ओड़ोः कृपया चित्र के ध्यानपूर्वक जांच केदा।,oda़oh kripayaa chitrara ke dhyaanapuurwaka jaancha kedaa.
कृपया चार्ट को ध्यानपूर्वक जांचें।,Please check the chart carefully.,ओड़ोः कृपया चार्ट के ध्यानपूर्वक जांच केदा।,oda़oh kripayaa chaarta ke dhyaanapuurwaka jaancha kedaa.
कृपया शब्दकोश को ध्यानपूर्वक जांचें।,Please check the dictionary carefully.,ओड़ोः कृपया शब्दकोश के ध्यानपूर्वक जांच केदाएः।,oda़oh kripayaa shabdakosha ke dhyaanapuurwaka jaancha kedaaeh.
कृपया पृष्ठ को ध्यानपूर्वक जांचें।,Please check the page carefully.,ओड़ोः कृपया पृष्ठ के ध्यानपूर्वक जांच केदा।,oda़oh kripayaa prishtha ke dhyaanapuurwaka jaancha kedaa.
कृपया अभ्यास की सावधानीपूर्वक जाँच करें।,Please check the exercises carefully.,ओड़ो: कृपया अभ्यास रा: सावधानीपूर्वक जाँच रिकाएआ।,oda़o: kripayaa abhyaasa raa: saawadhaaniipuurwaka jaancha rikaaeaa.
कृपया कहानी को ध्यान से जांचें।,Please check the story carefully.,ओड़ोः कृपया कहानी के ध्यान ते जांच केदा।,oda़oh kripayaa kahaanii ke dhyaana te jaancha kedaa.
कृपया कविता को ध्यान से जांचें।,Please check the poem carefully.,ओड़ोः कृपया कविता के ध्यान ते जांच केदाएः।,oda़oh kripayaa kawitaa ke dhyaana te jaancha kedaaeh.
कृपया नंबर को ध्यान से जांचें।,Please check the number carefully.,ओड़ो: कृपया नंबर के ध्यान ते जांच केदा।,oda़o: kripayaa nanbara ke dhyaana te jaancha kedaa.
कृपया शब्द को ध्यानपूर्वक जांचें।,Please check the wording carefully.,ओड़ो: कृपया शब्द के ध्यानपूर्वक जांच केदा।,oda़o: kripayaa shabda ke dhyaanapuurwaka jaancha kedaa.
कृपया वाक्य को ध्यानपूर्वक जांचें।,Please check the sentence carefully.,ओड़ोः कृपया वाक्य के ध्यानपूर्वक जांच केदाएः।,oda़oh kripayaa waakya ke dhyaanapuurwaka jaancha kedaaeh.
कृपया उदाहरण को ध्यानपूर्वक जांचें।,Please check the example carefully.,नेआ उदाहरण के ध्यानपूर्वक जांच केदा।,neaa udaaharana ke dhyaanapuurwaka jaancha kedaa.
कृपया होमवर्क ध्यानपूर्वक जांचें।,Please check your homework carefully.,मेनदो होमवर्क ध्यानपूर्वक जांच केदाएः।,menado homawarka dhyaanapuurwaka jaancha kedaaeh.
कृपया पुस्तक को ज़ोर से पढ़ें।,Please read the book out loud.,ओड़ो: कृपया पुस्तक के जोर ते पढ़व केदा।,oda़o: kripayaa pustaka ke jora te padha़wa kedaa.
कृपया नोटबुक को ज़ोर से पढ़ें।,Please read the notebook out loud.,ओड़ो: कृपया नोटबुक के जोर ते पढ़व केदा।,oda़o: kripayaa notabuka ke jora te padha़wa kedaa.
कृपया पेंसिल को ज़ोर से पढ़ें।,Please read the pencil out loud.,ओड़ो: कृपया पेंसिल के जोर ते पढ़व केदा।,oda़o: kripayaa pensila ke jora te padha़wa kedaa.
कृपया इरेज़र को ज़ोर से पढ़ें।,Please read the eraser out loud.,ओड़ो: कृपया इरेज़र के जोर ते पढ़व केदा।,oda़o: kripayaa ireja़ra ke jora te padha़wa kedaa.
कृपया रूलर को ज़ोर से पढ़ें।,Please read the ruler out loud.,ओड़ो: कृपया रूलर के जोर ते पढ़व केदा।,oda़o: kripayaa ruulara ke jora te padha़wa kedaa.
